21,2
22,12
23,22
24,32
26,52
27,62
28,72
30,92
31,102
32,112
33,122
34,132
36,152
37,162
38,172
40,192
41,202
42,212
43,222
44,232
46,252
47,262
48,272
50,292
51,302
52,312
53,322
54,332
56,352
57,362
58,372
60,392
61,402
62,412
63,422
64,432
66,452
67,462
68,472
70,492
71,502
72,512
73,522
74,532
76,552
77,562
78,572
80,592
81,602
82,612
83,622
84,632
86,652
87,662
88,672
90,692
91,702
92,712
93,722
94,732
96,752
97,762
98,772
100,792
101,802
102,812
103,822
104,832
106,852
107,862
108,872
110,892
111,902
112,912
113,922
114,932
116,952
117,962
118,972
120,992
121,1002
122,1012
123,1022
124,1032
126,1052
127,1062
128,1072
130,1092
131,1102
132,1112
133,1122
134,1132
136,1152
137,1162
138,1172
140,1192
141,1202
142,1212
143,1222
144,1232
146,1252
147,1262
148,1272
150,1292
151,1302
152,1312
153,1322
154,1332
156,1352
157,1362
158,1372
160,1392
161,1402
162,1412
163,1422
164,1432
166,1452
167,1462
168,1472
170,1492
171,1502
172,1512
173,1522
174,1532
176,1552
177,1562
178,1572
180,1592
181,1602
182,1612
183,1622
184,1632
186,1652
187,1662
188,1672
190,1692
191,1702
192,1712
193,1722
194,1732
196,1752
197,1762
198,1772
200,1792
201,1802
202,1812
203,1822
204,1832
206,1852
207,1862
208,1872
210,1892
211,1902
212,1912
213,1922
214,1932
216,1952
217,1962
218,1972
220,1992
221,2002
222,2012
223,2022
224,2032
226,2052
227,2062
228,2072
230,2092
231,2102
232,2112
233,2122
234,2132
236,2152
237,2162
238,2172
240,2192
241,2202
242,2212
243,2222
244,2232
246,2252
247,2262
248,2272
250,2292
251,2302
252,2312
253,2322
254,2332
256,2352
257,2362
258,2372
260,2392
261,2402
262,2412
263,2422
264,2432
266,2452
267,2462
268,2472
270,2492
271,2502
272,2512
273,2522
274,2532
276,2552
277,2562
278,2572
280,2592
281,2602
282,2612
283,2622
284,2632
286,2652
287,2662
288,2672
290,2692
291,2702
292,2712
293,2722
294,2732
296,2752
297,2762
298,2772
300,2792
301,2802
302,2812
303,2822
304,2832
306,2852
307,2862
308,2872
310,2892
311,2902
312,2912
313,2922
314,2932
316,2952
317,2962
318,2972
320,2992
321,3002
322,3012
323,3022
324,3032
326,3052
327,3062
328,3072
330,3092
331,3102
332,3112
333,3122
334,3132
336,3152
337,3162
338,3172
340,3192
